"state","s_fips","county","c_fips","happening","happening_oppose"
"NORTH CAROLINA",37,"PITT COUNTY",147,74.166,9.541
"OHIO",39,"SENECA COUNTY",147,65.03,16.509
"OKLAHOMA",40,"WASHINGTON COUNTY",147,61.143,19.07
"TENNESSEE",47,"ROBERTSON COUNTY",147,60.37,18.38
"TEXAS",48,"FANNIN COUNTY",147,59.241,19.886
"ARKANSAS",5,"WOODRUFF COUNTY",147,66.388,12.417
"VIRGINIA",51,"PRINCE EDWARD COUNTY",147,71.209,10.591
"GEORGIA",13,"HEARD COUNTY",149,50.195,19.962
"ILLINOIS",17,"PIKE COUNTY",149,60.15,19.067
"INDIANA",18,"STARKE COUNTY",149,59.936,18.954
"IOWA",19,"PLYMOUTH COUNTY",149,62.222,18.378
"KANSAS",20,"POTTAWATOMIE COUNTY",149,55.945,18.787
"KENTUCKY",21,"MCLEAN COUNTY",149,55.411,20.869
"MICHIGAN",26,"ST. JOSEPH COUNTY",149,66.368,15.13
"MINNESOTA",27,"STEVENS COUNTY",149,68.89,13.72
"MISSISSIPPI",28,"WARREN COUNTY",149,67.46,11.086
"MISSOURI",29,"OREGON COUNTY",149,58.663,19.951
"NEBRASKA",31,"ROCK COUNTY",149,61.553,19.344
"NORTH CAROLINA",37,"POLK COUNTY",149,67.52,15.011
"OHIO",39,"SHELBY COUNTY",149,57.003,19.19
"OKLAHOMA",40,"WASHITA COUNTY",149,57.892,22.043
"TENNESSEE",47,"RUTHERFORD COUNTY",149,59.772,17.453
"TEXAS",48,"FAYETTE COUNTY",149,52.98,19.827
"ARKANSAS",5,"YELL COUNTY",149,62.934,17.213
"VIRGINIA",51,"PRINCE GEORGE COUNTY",149,67.57,12.324
"ALABAMA",1,"CALHOUN COUNTY",15,61.336,17.174
"FLORIDA",12,"CHARLOTTE COUNTY",15,66.641,15.344
"GEORGIA",13,"BARTOW COUNTY",15,56.484,19.633
"IDAHO",16,"BOISE COUNTY",15,66.731,16.759
"ILLINOIS",17,"CARROLL COUNTY",15,63.672,16.669
"INDIANA",18,"CARROLL COUNTY",15,60.365,19.556
"IOWA",19,"BOONE COUNTY",15,65.446,15.92
"KANSAS",20,"BUTLER COUNTY",15,61.287,19.837
"KENTUCKY",21,"BOONE COUNTY",15,60.206,18.324
"LOUISIANA",22,"BOSSIER PARISH",15,65.576,15.885
"MAINE",23,"LINCOLN COUNTY",15,72.684,11.348
"MARYLAND",24,"CECIL COUNTY",15,61.323,17.493
"MASSACHUSETTS",25,"HAMPSHIRE COUNTY",15,81.088,8.169
"MICHIGAN",26,"BARRY COUNTY",15,63.743,17.589
"MINNESOTA",27,"BROWN COUNTY",15,64.085,17.051
"MISSISSIPPI",28,"CARROLL COUNTY",15,59.524,16.009
"MISSOURI",29,"BENTON COUNTY",15,62.157,18.009
"MONTANA",30,"CHOUTEAU COUNTY",15,69.766,14.243
"NEBRASKA",31,"BOYD COUNTY",15,63.639,17.531
"NEVADA",32,"LANDER COUNTY",15,64.182,15.729
"NEW HAMPSHIRE",33,"ROCKINGHAM COUNTY",15,70.134,13.839
"NEW JERSEY",34,"GLOUCESTER COUNTY",15,71.362,10.869
"NEW MEXICO",35,"EDDY COUNTY",15,61.528,17.984
"NEW YORK",36,"CHEMUNG COUNTY",15,69.674,13.098
"NORTH CAROLINA",37,"BERTIE COUNTY",15,72.636,6.93
"NORTH DAKOTA",38,"BURLEIGH COUNTY",15,61.166,18.252
"OHIO",39,"BROWN COUNTY",15,58.097,18.519
"ARIZONA",4,"MOHAVE COUNTY",15,61.763,19.587
"OKLAHOMA",40,"CADDO COUNTY",15,62.964,16.972
"OREGON",41,"CURRY COUNTY",15,67.65,15.14
"PENNSYLVANIA",42,"BRADFORD COUNTY",15,63.965,16.214
"SOUTH CAROLINA",45,"BERKELEY COUNTY",15,66.301,12.627
"SOUTH DAKOTA",46,"BRULE COUNTY",15,69.731,13.873
"TENNESSEE",47,"CANNON COUNTY",15,56.07,19.49
"TEXAS",48,"AUSTIN COUNTY",15,62.1,16.893
"UTAH",49,"EMERY COUNTY",15,50.003,23.285
"ARKANSAS",5,"CARROLL COUNTY",15,63.228,16.691
"VERMONT",50,"LAMOILLE COUNTY",15,72.691,10.265
"VIRGINIA",51,"AUGUSTA COUNTY",15,61.639,18.185
"WASHINGTON",53,"COWLITZ COUNTY",15,68.615,13.931
"WEST VIRGINIA",54,"CLAY COUNTY",15,61.082,17.657
"WISCONSIN",55,"CALUMET COUNTY",15,64.299,15.747
"WYOMING",56,"GOSHEN COUNTY",15,60.01,21.321
"CALIFORNIA",6,"DEL NORTE COUNTY",15,70.439,12.459
"COLORADO",8,"CHAFFEE COUNTY",15,70.971,12.557
"CONNECTICUT",9,"WINDHAM COUNTY",15,63.864,12.828
"ALASKA",2,"KODIAK ISLAND BOROUGH",150,73.506,11.272
"GEORGIA",13,"HENRY COUNTY",151,71.923,9.965
"ILLINOIS",17,"POPE COUNTY",151,57.531,20.776
"INDIANA",18,"STEUBEN COUNTY",151,62.756,17.488
"IOWA",19,"POCAHONTAS COUNTY",151,63.926,16.628
"KANSAS",20,"PRATT COUNTY",151,62.172,18.194
"KENTUCKY",21,"MADISON COUNTY",151,62.581,16.707
"MICHIGAN",26,"SANILAC COUNTY",151,63.278,16.979
"MINNESOTA",27,"SWIFT COUNTY",151,65.125,15.436
"MISSISSIPPI",28,"WASHINGTON COUNTY",151,69.786,7.053
"MISSOURI",29,"OSAGE COUNTY",151,59.003,20.506
