"state","s_fips","county","c_fips","prop_dem","prop_rep","prop_lib","prop_green","prop_other","ttl_votes"
"OHIO",39,"MORROW",117,0.219320582976648,0.762691661700168,0.0139242563796933,0,0.00406349894349028,18457
"OHIO",39,"MUSKINGUM",119,0.295835907574447,0.688669220313851,0.0113431360434944,0,0.00415173606820709,40465
"OHIO",39,"NOBLE",121,0.184455305060697,0.809553838877503,0.00394135267223711,0,0.0020495033895633,6343
"OHIO",39,"OTTAWA",123,0.375223893031199,0.609322281001375,0.0121631190902653,0,0.00329070687716083,24007
"OHIO",39,"PAULDING",125,0.233759374669906,0.748494771310869,0.013098130347523,0,0.0046477236717017,9467
"OHIO",39,"PERRY",127,0.24575712143928,0.741049475262369,0.0101949025487256,0,0.00299850074962519,16675
"OHIO",39,"PICKAWAY",129,0.258356619857805,0.728414276113332,0.0104347210922854,0,0.00279438293657812,28271
"OHIO",39,"BELMONT",13,0.276172630560928,0.712040618955513,0.00861339458413926,0,0.00317335589941973,33088
"OHIO",39,"PIKE",131,0.250563970351273,0.737753786658073,0.00990976474379633,0,0.00177247824685788,12412
"OHIO",39,"PORTAGE",133,0.430314219519259,0.554952215464813,0.0109325224442514,0,0.0038010425716768,82872
"OHIO",39,"PREBLE",135,0.206015865009858,0.780503461873538,0.0111421890045394,0,0.00233848411206383,21809
"OHIO",39,"PUTNAM",137,0.160383514883791,0.823854224185533,0.0123989759550223,0,0.00336328497565383,19921
"OHIO",39,"RICHLAND",139,0.294122551062943,0.691488120050021,0.0113380575239683,0,0.00305127136306794,59975
"OHIO",39,"ROSS",141,0.317036547644073,0.669029099972972,0.0103606714916364,0,0.00357368089131806,33299
"OHIO",39,"SANDUSKY",143,0.352330917071224,0.628316818514331,0.0148965884152424,0,0.00445567599920197,30074
"OHIO",39,"SCIOTO",145,0.283333853402815,0.705495054139233,0.00817549224576403,0,0.00299560021218835,32047
"OHIO",39,"SENECA",147,0.320263463773731,0.661991476172026,0.0138318481208834,0,0.00391321193335916,25810
"OHIO",39,"SHELBY",149,0.176775675033653,0.808535909414839,0.0114815108084567,0,0.00320690474305171,25258
"OHIO",39,"BROWN",15,0.207622298065984,0.781190747061054,0.00862722791050436,0,0.00255972696245734,21096
"OHIO",39,"STARK",151,0.399749314036834,0.585093664912918,0.0113914650909263,0,0.00376555595932146,189879
"OHIO",39,"SUMMIT",153,0.540757933918773,0.445080275106695,0.0107069129648843,0,0.00345487800964799,280473
"OHIO",39,"TRUMBULL",155,0.440777814081049,0.546469836932308,0.00903951446025287,0,0.00371283452639083,101001
"OHIO",39,"TUSCARAWAS",157,0.292831989094627,0.691991366579575,0.0112234465523117,0,0.00395319777348631,44015
"OHIO",39,"UNION",159,0.333114067872627,0.647899536552549,0.0159964120197339,0,0.00298998355509045,33445
"OHIO",39,"VAN WERT",161,0.204944871366522,0.778483127297026,0.01343133979285,0,0.00314066154360174,14965
"OHIO",39,"VINTON",163,0.220729684908789,0.7681592039801,0.00779436152570481,0,0.0033167495854063,6030
"OHIO",39,"WARREN",165,0.338493754592212,0.646495224099927,0.0128361498897869,0,0.00217487141807494,136100
"OHIO",39,"WASHINGTON",167,0.288564203427929,0.696419094002685,0.0116137491804814,0,0.0034029533889045,32031
"OHIO",39,"WAYNE",169,0.306910082346223,0.677173332350828,0.0122506125306265,0,0.00366597277232283,54283
"OHIO",39,"BUTLER",17,0.372786325152487,0.612583473012847,0.0116581073916792,0,0.00297209444298666,186737
"OHIO",39,"WILLIAMS",171,0.259610744732186,0.721248190445553,0.0152806820009651,0,0.00386038282129645,18651
"OHIO",39,"WOOD",173,0.452934301818128,0.528973179283104,0.0146752074796219,0,0.00341731141914582,67597
"OHIO",39,"WYANDOT",175,0.239947322212467,0.742932396839333,0.0136084284460053,0,0.00351185250219491,11390
"OHIO",39,"CARROLL",19,0.228750351815367,0.756051224317478,0.0109766394596116,0,0.00422178440754292,14212
"OHIO",39,"CHAMPAIGN",21,0.25345483677148,0.730472661726417,0.013018225515722,0,0.00305427598638093,19972
"OHIO",39,"CLARK",23,0.374945493054258,0.607861458917336,0.0129103594343736,0,0.00428268859403227,64212
"OHIO",39,"CLERMONT",25,0.308580738595221,0.674963794351919,0.0136947863866763,0,0.00276068066618392,110480
"OHIO",39,"CLINTON",27,0.228820577775613,0.754518439128952,0.0131534077069226,0,0.00350757538851269,20527
"OHIO",39,"COLUMBIANA",29,0.267930204572804,0.716526273565985,0.0121740874448456,0,0.00336943441636582,49860
"OHIO",39,"ALLEN",3,0.294733991584385,0.689830437861934,0.0122901304003666,0,0.00314544015331417,48006
"OHIO",39,"COSHOCTON",31,0.246430491666169,0.736304438735886,0.0135611446322958,0,0.00370392496564908,16739
"OHIO",39,"CRAWFORD",33,0.237648651261723,0.746205162912114,0.0134390408972252,0,0.00270714492893745,20686
"OHIO",39,"CUYAHOGA",35,0.665168539325843,0.323971102977608,0.0073409305224799,0,0.0035194271740694,625670
"OHIO",39,"DARKE",37,0.174356895407975,0.810938306184123,0.0121987174762291,0,0.00250608093167244,27134
"OHIO",39,"DEFIANCE",39,0.308601207368041,0.672720705845932,0.0140343635519323,0,0.00464372323409525,19381
"OHIO",39,"DELAWARE",41,0.457959863567859,0.526342508130404,0.0129293249781867,0,0.00276830332355041,126070
"OHIO",39,"ERIE",43,0.433692822610636,0.549398785174166,0.0129416139828933,0,0.00396677823230445,40335
"OHIO",39,"FAIRFIELD",45,0.374788443302805,0.609727406945061,0.012399323018569,0,0.0030848267335646,83311
"OHIO",39,"FAYETTE",47,0.235886457342214,0.751110053916905,0.0104662226450999,0,0.0025372660957818,12612
"OHIO",39,"FRANKLIN",49,0.648840664978266,0.334990017079595,0.0122395837463149,0,0.00392973419582382,630577
"OHIO",39,"ASHLAND",5,0.247718235182731,0.734974436659724,0.0130657072524143,0,0.0042416209051316,26405
"OHIO",39,"FULTON",51,0.292665788317962,0.690865173473869,0.0131313131313131,0,0.00333772507685551,22770
"OHIO",39,"GALLIA",53,0.216682368287557,0.7714327125154,0.00956591057322994,0,0.00231900862381332,13799
"OHIO",39,"GEAUGA",55,0.378447367951304,0.609467878117135,0.00953213973331429,0,0.00255261419824709,56021
"OHIO",39,"GREENE",57,0.392563428584321,0.587434992046749,0.0164479992780028,0,0.00355358009092653,88643
"OHIO",39,"GUERNSEY",59,0.251069665386725,0.735436094349973,0.00970927043335162,0,0.00378496982995063,18230
"OHIO",39,"HAMILTON",61,0.57147697184455,0.412796539569163,0.0120924792715273,0,0.00363400931475951,430929
"OHIO",39,"HANCOCK",63,0.303242113951149,0.678599984524516,0.0149596347785716,0,0.00319826674576359,38771
"OHIO",39,"HARDIN",65,0.231146674718804,0.751037970861327,0.014493847663622,0,0.0033215067562467,13247
"OHIO",39,"HARRISON",67,0.230960156760287,0.756629653821032,0.00770738079686479,0,0.00470280862181581,7655
"OHIO",39,"HENRY",69,0.275128691411542,0.709767000812788,0.0118531563261989,0,0.00325115144947169,14764
"OHIO",39,"ASHTABULA",7,0.373683375993839,0.609101411194419,0.0126622420549528,0,0.00455297075678982,44147
"OHIO",39,"HIGHLAND",71,0.193077861353934,0.796808294368774,0.00742020735921935,0,0.00269363691807278,19676
"OHIO",39,"HOCKING",73,0.280671296296296,0.70435474537037,0.01171875,0,0.00325520833333333,13824
"OHIO",39,"HOLMES",75,0.15401251255117,0.833861126129605,0.00965474627326794,0,0.00247161504595659,12947
"OHIO",39,"HURON",77,0.285362265538801,0.697168076498713,0.0142331739610151,0,0.00323648400147113,27190
"OHIO",39,"JACKSON",79,0.223806948763012,0.764431526294444,0.0097336758145194,0,0.00202784912802487,14794
"OHIO",39,"JEFFERSON",81,0.300281757688388,0.684251543672442,0.0107007973143097,0,0.00476590132486062,33362
"OHIO",39,"KNOX",83,0.273552455570419,0.711510287279445,0.0119115867252691,0,0.00302567042486783,31398
"OHIO",39,"LAKE",85,0.425365300477362,0.561478518722847,0.00983840194929085,0,0.00331777885050073,130509
"OHIO",39,"LAWRENCE",87,0.266256621751342,0.721939773171686,0.00920823408113201,0,0.0025953709958403,28127
"OHIO",39,"LICKING",89,0.35086508863178,0.631716378303789,0.0135760534975056,0,0.00384247956692496,94210
"OHIO",39,"ATHENS",9,0.566867492996661,0.416823362370007,0.0114739629302736,0,0.00483518170305844,26059
"OHIO",39,"LOGAN",91,0.216321465251626,0.768743580965423,0.0116398493666553,0,0.00329510441629579,23368
"OHIO",39,"LORAIN",93,0.48061764388295,0.505090925258992,0.0106518797995389,0,0.00363955105851865,157437
"OHIO",39,"LUCAS",95,0.575263055581863,0.407545495780643,0.0129845531170404,0,0.00420689552045379,200623
"OHIO",39,"MADISON",97,0.286980609418283,0.696801813145303,0.013548224628557,0,0.00266935280785696,19855
"OHIO",39,"MAHONING",99,0.484516584570381,0.503530420456265,0.00811996704940907,0,0.00383302792394466,118966
"ARIZONA",4,"APACHE",1,0.662259752075515,0.325315591948141,0.0124246559763448,0,0,35172
"ARIZONA",4,"GREENLEE",11,0.320759837177748,0.660244233378562,0.0189959294436906,0,0,3685
"ARIZONA",4,"LA PAZ",12,0.299812282113167,0.687717886832931,0.0124698310539019,0,0,7458
"ARIZONA",4,"MARICOPA",13,0.503240586728971,0.481429242838023,0.0153301704330066,0,0,2068144
"ARIZONA",4,"MOHAVE",15,0.237235831390683,0.750324836626285,0.0124393319830321,0,0,104668
"ARIZONA",4,"NAVAJO",17,0.451697027063573,0.534259277145672,0.0140436957907547,0,0,51767
"ARIZONA",4,"PIMA",19,0.586054493012066,0.399229818772975,0.014715688214959,0,0,520397
"ARIZONA",4,"PINAL",21,0.406035442818991,0.578875950133532,0.0150886070474769,0,0,184974
"ARIZONA",4,"SANTA CRUZ",23,0.671814276948251,0.316731437921865,0.0114542851298834,0,0,19556
"ARIZONA",4,"YAVAPAI",25,0.346331892669371,0.639061310841287,0.0146067964893416,0,0,143221
"ARIZONA",4,"YUMA",27,0.460926432077389,0.522803050900817,0.0162705170217942,0,0,69881
"ARIZONA",4,"COCHISE",3,0.392640878859072,0.588282982032362,0.0190761391085669,0,0,60442
"ARIZONA",4,"COCONINO",5,0.610028387378535,0.36919969428977,0.0207719183316956,0,0,73272
"ARIZONA",4,"GILA",7,0.323295495625768,0.664340973176198,0.0123635311980334,0,0,27662
"ARIZONA",4,"GRAHAM",9,0.269023007669223,0.716838946315438,0.0141380460153384,0,0,14995
"OKLAHOMA",40,"ADAIR",1,0.195132245357344,0.785734383792909,0.00872256612267867,0,0.0104108047270681,7108
"OKLAHOMA",40,"MUSKOGEE",101,0.320043060484032,0.658905147322675,0.0127187911167816,0,0.0083330010765121,25081
"OKLAHOMA",40,"NOBLE",103,0.203118671526934,0.77379505872823,0.0147833130822195,0,0.00830295666261644,4938
"OKLAHOMA",40,"NOWATA",105,0.162149851969939,0.82213618765657,0.0122978820314279,0,0.00341607834206331,4391
"OKLAHOMA",40,"OKFUSKEE",107,0.221892025755324,0.757305596830114,0.0121347201584943,0,0.00866765725606736,4038
"OKLAHOMA",40,"OKLAHOMA",109,0.480844133812852,0.492128655764403,0.017886951211237,0,0.00914025921150845,294740
"OKLAHOMA",40,"BLAINE",11,0.176365034606511,0.803896436811074,0.0112791591899513,0,0.00845936939246347,3901
"OKLAHOMA",40,"OKMULGEE",111,0.304408579612939,0.675469852581569,0.0126458464333124,0,0.00747572137217914,14313
"OKLAHOMA",40,"OSAGE",113,0.292238776901354,0.687554776511832,0.0125133898140033,0,0.00769305677281137,20538
"OKLAHOMA",40,"OTTAWA",115,0.234831264207029,0.747071166287813,0.0117153348487498,0,0.00638223465640846,11438
"OKLAHOMA",40,"PAWNEE",117,0.200854700854701,0.776156793398173,0.0151783082817566,0,0.00781019746536988,6786
"OKLAHOMA",40,"PAYNE",119,0.367844010390311,0.600917585939345,0.0227035050433492,0,0.00853489862699457,29643
"OKLAHOMA",40,"PITTSBURG",121,0.210220932827494,0.772762776166034,0.0110466413746931,0,0.00596964963177862,17924
"OKLAHOMA",40,"PONTOTOC",123,0.268733681462141,0.705287206266319,0.0170365535248042,0,0.00894255874673629,15320
"OKLAHOMA",40,"POTTAWATOMIE",125,0.258116019159127,0.71811247117261,0.0152918218910768,0,0.00847968777718645,28185
"OKLAHOMA",40,"PUSHMATAHA",127,0.140958008018569,0.847436167967926,0.00696349440810298,0,0.00464232960540198,4739
"OKLAHOMA",40,"ROGER MILLS",129,0.0916030534351145,0.888222464558342,0.0130861504907306,0,0.00708833151581243,1834
"OKLAHOMA",40,"BRYAN",13,0.207999499248873,0.772658988482724,0.0143965948923385,0,0.0049449173760641,15976
"OKLAHOMA",40,"ROGERS",131,0.215226808520189,0.763831840729019,0.0147015913630956,0,0.00623975938769555,44553
"OKLAHOMA",40,"SEMINOLE",133,0.257886529926832,0.721002758786134,0.0130742473311743,0,0.00803646395585942,8337
"OKLAHOMA",40,"SEQUOYAH",135,0.197257246847784,0.787274145326921,0.0098791108800208,0,0.00558949694527493,15386
"OKLAHOMA",40,"STEPHENS",137,0.165503489531406,0.816497874796663,0.0117542110510574,0,0.00624442462087422,19057
"OKLAHOMA",40,"TEXAS",139,0.161927187103786,0.81597536678138,0.0161202680673791,0,0.00597717804745517,5521
"OKLAHOMA",40,"TILLMAN",141,0.220457902511078,0.766617429837518,0.00886262924667651,0,0.00406203840472674,2708
"OKLAHOMA",40,"TULSA",143,0.408717629500746,0.56462850328861,0.0182204756297857,0,0.00843339158085781,266678
"OKLAHOMA",40,"WAGONER",145,0.239515535683966,0.740421076461599,0.014233969098421,0,0.00582941875601336,35338
"OKLAHOMA",40,"WASHINGTON",147,0.246372494787456,0.726607378409429,0.0189353644525765,0,0.00808476235053827,23501
"OKLAHOMA",40,"WASHITA",149,0.125183169353151,0.855348545111995,0.0123508478124346,0,0.00711743772241993,4777
"OKLAHOMA",40,"CADDO",15,0.270818541434223,0.711329749467492,0.00983872603712344,0,0.00801298306116239,9859
"OKLAHOMA",40,"WOODS",151,0.16068515497553,0.813757476889614,0.0179445350734095,0,0.00761283306144644,3678
"OKLAHOMA",40,"WOODWARD",153,0.129094412331407,0.849197174052665,0.0160565189466924,0,0.00565189466923571,7785
"OKLAHOMA",40,"CANADIAN",17,0.270293832741363,0.703099773974814,0.0188569583467872,0,0.00774943493703584,61940
"OKLAHOMA",40,"CARTER",19,0.229477899276144,0.754607526053699,0.0100621181785513,0,0.00585245649160635,19479
"OKLAHOMA",40,"CHEROKEE",21,0.340239358699334,0.633566670430168,0.0180648074968951,0,0.0081291633736028,17714
"OKLAHOMA",40,"CHOCTAW",23,0.185528120713306,0.805555555555556,0.00582990397805213,0,0.00308641975308642,5832
"OKLAHOMA",40,"CIMARRON",25,0.0664136622390892,0.920303605313093,0.0094876660341556,0,0.00379506641366224,1054
"OKLAHOMA",40,"CLEVELAND",27,0.415994589991484,0.556671508958239,0.0190185175908765,0,0.00831538345939989,119778
"OKLAHOMA",40,"COAL",29,0.148177496038035,0.828446909667195,0.0134706814580032,0,0.00990491283676704,2524
"OKLAHOMA",40,"ALFALFA",3,0.102564102564103,0.874447391688771,0.0137046861184792,0,0.00928381962864721,2262
"OKLAHOMA",40,"COMANCHE",31,0.38581572226432,0.586708203530633,0.0196177485897112,0,0.00785832561533496,35631
"OKLAHOMA",40,"COTTON",33,0.152799377916019,0.823094867807154,0.0132192846034215,0,0.0108864696734059,2572
"OKLAHOMA",40,"CRAIG",35,0.201757294429708,0.776856763925729,0.0145888594164456,0,0.00679708222811671,6032
"OKLAHOMA",40,"CREEK",37,0.21560399934437,0.763612522537289,0.0143583019177184,0,0.00642517620062285,30505
"OKLAHOMA",40,"CUSTER",39,0.22158825180058,0.753905153867739,0.0184267140585539,0,0.00607988027312693,10691
"OKLAHOMA",40,"DELAWARE",41,0.201333719918817,0.786140910408814,0.00788634386778776,0,0.00463902580458104,17245
"OKLAHOMA",40,"DEWEY",43,0.0907164052564646,0.9003815175922,0.00508690122933446,0,0.00381517592200085,2359
"OKLAHOMA",40,"ELLIS",45,0.0864922584089696,0.901227976508275,0.00961025093432995,0,0.00266951414842499,1873
"OKLAHOMA",40,"GARFIELD",47,0.219304502897905,0.756576014266607,0.016540347748551,0,0.00757913508693714,22430
"OKLAHOMA",40,"GARVIN",49,0.170756271745102,0.812854788500275,0.0105292071049258,0,0.00585973264969786,10922
"OKLAHOMA",40,"ATOKA",5,0.141955835962145,0.845611430692151,0.00909259602894786,0,0.00334013731675636,5389
"OKLAHOMA",40,"GRADY",51,0.179386173758712,0.802476083286438,0.0124237046015324,0,0.00571403835331804,23101
