"state","s_fips","county","c_fips","weather_type","year"
"INDIANA",18,"BENTON COUNTY",7,"Flood","2018"
"IOWA",19,"BENTON COUNTY",11,"Flood","2016"
"MISSISSIPPI",28,"BENTON COUNTY",9,"Severe Storm(s)","2016"
"MISSOURI",29,"BENTON COUNTY",15,"Severe Storm(s)","2015"
"MISSOURI",29,"BENTON COUNTY",15,"Severe Storm(s)","2019"
"TENNESSEE",47,"BENTON COUNTY",5,"Severe Storm(s)","2019"
"WASHINGTON",53,"BENTON COUNTY",5,"Fire","2016"
"WASHINGTON",53,"BENTON COUNTY",5,"Flood","2017"
"NEW JERSEY",34,"BERGEN COUNTY",3,"Severe Storm(s)","2018"
"NEW JERSEY",34,"BERGEN COUNTY",3,"Severe Storm(s)","2016"
"SOUTH CAROLINA",45,"BERKELEY COUNTY",15,"Hurricane","2017"
"SOUTH CAROLINA",45,"BERKELEY COUNTY",15,"Hurricane","2016"
"SOUTH CAROLINA",45,"BERKELEY COUNTY",15,"Hurricane","2019"
"SOUTH CAROLINA",45,"BERKELEY COUNTY",15,"Hurricane","2018"
"SOUTH CAROLINA",45,"BERKELEY COUNTY",15,"Flood","2015"
"SOUTH CAROLINA",45,"BERKELEY COUNTY",15,"Severe Storm(s)","2015"
"PENNSYLVANIA",42,"BERKS COUNTY",11,"Snow","2016"
"NEW MEXICO",35,"BERNALILLO COUNTY",1,"Fire","2016"
"GEORGIA",13,"BERRIEN COUNTY",19,"Hurricane","2018"
"GEORGIA",13,"BERRIEN COUNTY",19,"Tornado","2017"
"GEORGIA",13,"BERRIEN COUNTY",19,"Hurricane","2017"
"NORTH CAROLINA",37,"BERTIE COUNTY",15,"Hurricane","2018"
"NORTH CAROLINA",37,"BERTIE COUNTY",15,"Hurricane","2016"
"NORTH CAROLINA",37,"BERTIE COUNTY",15,"Hurricane","2019"
"TEXAS",48,"BEXAR COUNTY",29,"Hurricane","2017"
"ALABAMA",1,"BIBB COUNTY",7,"Hurricane","2017"
"GEORGIA",13,"BIBB COUNTY",21,"Hurricane","2017"
"GEORGIA",13,"BIBB COUNTY",21,"Hurricane","2018"
"LOUISIANA",22,"BIENVILLE PARISH",13,"Flood","2016"
"MINNESOTA",27,"BIG STONE COUNTY",11,"Flood","2019"
"IDAHO",16,"BINGHAM COUNTY",11,"Flood","2017"
"IOWA",19,"BLACK HAWK COUNTY",13,"Flood","2016"
"NORTH CAROLINA",37,"BLADEN COUNTY",17,"Hurricane","2019"
"NORTH CAROLINA",37,"BLADEN COUNTY",17,"Hurricane","2018"
"NORTH CAROLINA",37,"BLADEN COUNTY",17,"Hurricane","2016"
"IDAHO",16,"BLAINE COUNTY",13,"Flood","2017"
"MONTANA",30,"BLAINE COUNTY",5,"Flood","2018"
"NEBRASKA",31,"BLAINE COUNTY",9,"Flood","2019"
"NEBRASKA",31,"BLAINE COUNTY",9,"Severe Storm(s)","2017"
"NEBRASKA",31,"BLAINE COUNTY",9,"Snow","2018"
"OKLAHOMA",40,"BLAINE COUNTY",11,"Severe Storm(s)","2017"
"OKLAHOMA",40,"BLAINE COUNTY",11,"Severe Storm(s)","2019"
"OKLAHOMA",40,"BLAINE COUNTY",11,"Severe Storm(s)","2016"
"OKLAHOMA",40,"BLAINE COUNTY",11,"Severe Ice Storm","2015"
"PENNSYLVANIA",42,"BLAIR COUNTY",13,"Snow","2016"
"TEXAS",48,"BLANCO COUNTY",31,"Severe Storm(s)","2015"
"VIRGINIA",51,"BLAND COUNTY",21,"Hurricane","2018"
"GEORGIA",13,"BLECKLEY COUNTY",23,"Hurricane","2018"
"GEORGIA",13,"BLECKLEY COUNTY",23,"Hurricane","2017"
"TENNESSEE",47,"BLEDSOE COUNTY",7,"Flood","2019"
"TENNESSEE",47,"BLEDSOE COUNTY",7,"Severe Ice Storm","2015"
"TENNESSEE",47,"BLEDSOE COUNTY",7,"Fire","2016"
"ALABAMA",1,"BLOUNT COUNTY",9,"Hurricane","2017"
"ALABAMA",1,"BLOUNT COUNTY",9,"Severe Storm(s)","2016"
"ALABAMA",1,"BLOUNT COUNTY",9,"Severe Storm(s)","2019"
"TENNESSEE",47,"BLOUNT COUNTY",9,"Severe Ice Storm","2015"
"TENNESSEE",47,"BLOUNT COUNTY",9,"Flood","2019"
"TENNESSEE",47,"BLOUNT COUNTY",9,"Severe Storm(s)","2017"
"TENNESSEE",47,"BLOUNT COUNTY",9,"Fire","2016"
"MINNESOTA",27,"BLUE EARTH COUNTY",13,"Flood","2019"
"MINNESOTA",27,"BLUE EARTH COUNTY",13,"Flood","2016"
"MINNESOTA",27,"BLUE EARTH COUNTY",13,"Flood","2018"
