disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
4596,2021-04-26T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",2021-03-25T00:00:00.000Z,2021-03-26T00:00:00.000Z,Major Disaster,AL,Alabama,Severe Storm(s),2021-04-26T00:00:00.000Z,2021-04-26T00:00:00.000Z,,4fbf3dd969499eeed1f561c83eda02c32cf78337,2021-07-13T23:01:14.033Z,6086f1e5a0ee349d716bf248
5386,2021-04-27T00:00:00.000Z,THREE RIVERS FIRE,2021-04-26T00:00:00.000Z,,Fire Management,NM,New Mexico,Fire,2021-04-27T00:00:00.000Z,2021-04-27T00:00:00.000Z,,f453db4b098a5b5cb5985ce57c2cf5181ab45c6c,2021-07-13T23:01:14.033Z,6088561ea0ee349d713ab76a
4597,2021-04-28T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,2021-01-31T00:00:00.000Z,2021-02-02T00:00:00.000Z,Major Disaster,NJ,New Jersey,Snow,2021-04-28T00:00:00.000Z,2021-04-28T00:00:00.000Z,,c6c453586ebb55f1b9d4d8eb8053f7d0462da3bb,2021-07-13T23:01:14.033Z,60897416a0ee349d716e03e8
4598,2021-05-04T00:00:00.000Z,SEVERE WINTER STORMS,2021-02-11T00:00:00.000Z,2021-02-19T00:00:00.000Z,Major Disaster,MS,Mississippi,Severe Ice Storm,2021-05-04T00:00:00.000Z,2021-05-04T00:00:00.000Z,,ab3b93b1ca635f25fd29e92d3ade379efb0a8262,2021-07-13T23:01:14.033Z,60915d19a0ee349d7189d9fc
4599,2021-05-04T00:00:00.000Z,OR WINTER STORM 02-13-2021,2021-02-11T00:00:00.000Z,2021-02-15T00:00:00.000Z,Major Disaster,OR,Oregon,Severe Storm(s),2021-05-04T00:00:00.000Z,2021-05-04T00:00:00.000Z,,39f3f08f56b6282270e703f6101ec0bdbef2c5b5,2021-07-13T23:01:14.033Z,6091747ea0ee349d71b83f58
4600,2021-05-05T00:00:00.000Z,SEVERE STORMS AND TORNADOES,2021-03-25T00:00:00.000Z,2021-03-26T00:00:00.000Z,Major Disaster,GA,Georgia,Severe Storm(s),2021-05-05T00:00:00.000Z,2021-05-05T00:00:00.000Z,,386cd34ddd1316003cc6277a70e7dc2616684d56,2021-07-13T23:01:14.032Z,60931a6ea0ee349d7121396d
4601,2021-05-08T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",2021-03-25T00:00:00.000Z,2021-04-03T00:00:00.000Z,Major Disaster,TN,Tennessee,Tornado,2021-05-08T00:00:00.000Z,2021-05-08T00:00:00.000Z,,b0f7cc08c911beb5cdf6987db8bfd56395de9cb1,2021-07-13T23:01:14.032Z,6096b5dca0ee349d717604eb
4602,2021-05-10T00:00:00.000Z,SEVERE WINTER STORMS,2021-02-11T00:00:00.000Z,2021-02-13T00:00:00.000Z,Major Disaster,VA,Virginia,Severe Ice Storm,2021-05-10T00:00:00.000Z,2021-05-10T00:00:00.000Z,,7dfd53bb003c79a34b6d336b1fa5e7a76313f6b1,2021-07-13T23:01:14.032Z,609974fca0ee349d7122db85
4603,2021-05-13T00:00:00.000Z,SEVERE WINTER STORMS,2021-02-10T00:00:00.000Z,2021-02-16T00:00:00.000Z,Major Disaster,WV,West Virginia,Severe Ice Storm,2021-05-13T00:00:00.000Z,2021-05-13T00:00:00.000Z,,ed5c66768f7e21b83c5cbcb53872e942338e587b,2021-07-13T23:01:14.032Z,609d43f3a0ee349d71dd3312
4604,2021-05-13T00:00:00.000Z,"SEVERE STORMS, FLOODING, AND LANDSLIDES",2021-03-08T00:00:00.000Z,2021-03-18T00:00:00.000Z,Major Disaster,HI,Hawaii,Flood,2021-05-13T00:00:00.000Z,2021-05-13T00:00:00.000Z,,4697f3007a7be15d37d3163ca25b37265acbce81,2021-07-13T23:01:14.032Z,609d8593a0ee349d717c7093
4605,2021-05-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,2021-02-27T00:00:00.000Z,2021-03-04T00:00:00.000Z,Major Disaster,WV,West Virginia,Flood,2021-05-21T00:00:00.000Z,2021-05-21T00:00:00.000Z,,51046f6c30a90d6915edbc1a03e94687d70397d0,2021-07-13T23:01:14.032Z,60a7bd38a0ee349d7120d9c5
3559,2020-03-13T00:00:00.000Z,COVID-19,2020-01-20T00:00:00.000Z,,Emergency,NM,New Mexico,Biological,2021-05-28T00:00:00.000Z,2021-05-28T00:00:00.000Z,,f3167a9ff156600ad2c236dfed9c2c9526a8edbc,2021-07-13T23:01:14.466Z,60b10f23a0ee349d71f95c25
5387,2021-05-27T00:00:00.000Z,SPUR FIRE,2021-05-27T00:00:00.000Z,,Fire Management,AZ,Arizona,Fire,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,,d988e25c76d8bceb103b8fff717ea5313094bb7c,2021-07-13T23:01:14.031Z,60b62642a0ee349d714850ce
4606,2021-06-02T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",2021-05-17T00:00:00.000Z,2021-05-21T00:00:00.000Z,Major Disaster,LA,Louisiana,Flood,2021-06-02T00:00:00.000Z,2021-06-02T00:00:00.000Z,,5d6c560c8e31cc1cc7d41cc3d2c8f377a45c040e,2021-07-13T23:01:14.031Z,60b7f65ea0ee349d71fc7b9a
5388,2021-06-05T00:00:00.000Z,MAMMOTH FIRE,2021-06-05T00:00:00.000Z,2021-06-13T00:00:00.000Z,Fire Management,UT,Utah,Fire,2021-06-07T00:00:00.000Z,2021-07-01T00:00:00.000Z,,a14b656ab958a3b393eff0506084c61ba7a10d50,2021-07-13T23:01:14.031Z,60be8474a0ee349d716978a3
5389,2021-06-06T00:00:00.000Z,TELEGRAPH FIRE,2021-06-06T00:00:00.000Z,,Fire Management,AZ,Arizona,Fire,2021-06-07T00:00:00.000Z,2021-06-07T00:00:00.000Z,,17dfac9efa301e8a84ee60dacf0d239202ed6802,2021-07-13T23:01:14.031Z,60be8474a0ee349d7169789e
3506,2020-03-13T00:00:00.000Z,COVID-19 ,2020-01-20T00:00:00.000Z,,Emergency,NM,New Mexico,Biological,2020-04-08T00:00:00.000Z,2020-04-08T00:00:00.000Z,,f8a241f3ad0e7bd0d891e89d9e47d41127cb09c0,2021-07-13T23:01:14.535Z,60becb09a0ee349d71f5dc61
3333,2011-08-27T00:00:00.000Z,HURRICANE IRENE,2011-08-26T00:00:00.000Z,2011-09-06T00:00:00.000Z,Emergency,NH,New Hampshire,Hurricane,2011-08-27T00:00:00.000Z,2012-12-17T00:00:00.000Z,2012-12-11T00:00:00.000Z,ddee5c7df27eab0c8c62d1026d0a13fadc768c0f,2021-07-13T23:01:16.262Z,60becb09a0ee349d71f5e535
5390,2021-06-09T00:00:00.000Z,JACKS VALLEY FIRE,2021-06-09T00:00:00.000Z,,Fire Management,NV,Nevada,Fire,2021-06-10T00:00:00.000Z,2021-06-10T00:00:00.000Z,,f58738562cb20b5a239208eb4c1e5284da0d020e,2021-07-13T23:01:14.031Z,60c25cdba0ee349d7141e478
